<2024-CANSAT-ASI-023,00:00:00,0,0,99582,28.7,7.40,15:00:00,28.6123,77.0367,0,9,16.10,-10.84,0.21,-0.07,0.01,0.11,0,8,398>
<2024-CANSAT-ASI-023,00:00:01,1,0,99600,20.5,7.46,15:00:01,28.6124,77.0360,0,9,16.20,-10.77,0.26,-0.03,0.00,0.12,0,20,420>
<2024-CANSAT-ASI-023,00:00:02,2,0,99535,24.7,7.41,15:00:02,28.6125,77.0360,0,9,16.11,-10.73,0.21,-0.04,-0.01,0.10,1,1,428>
<2024-CANSAT-ASI-023,00:00:03,3,0,99532,28.3,7.46,15:00:03,28.6125,77.0372,0,9,16.14,-10.75,0.24,-0.04,-0.02,0.10,1,15,413>
<2024-CANSAT-ASI-023,00:00:04,4,0,99529,28.6,7.42,15:00:04,28.6131,77.0368,0,9,16.19,-10.81,0.23,-0.04,-0.02,0.11,1,2,440>
<2024-CANSAT-ASI-023,00:00:05,5,0,99589,25.1,7.43,15:00:05,28.6129,77.0374,0,9,16.26,-10.76,0.20,-0.07,-0.01,0.08,1,12,457>
<2024-CANSAT-ASI-023,00:00:06,6,0,99530,29.7,7.43,15:00:06,28.6113,77.0361,0,9,16.11,-10.91,0.27,-0.05,0.01,0.09,2,13,439>
<2024-CANSAT-ASI-023,00:00:07,7,0,99551,32.0,7.44,15:00:07,28.6117,77.0363,0,7,16.11,-10.75,0.30,-0.05,0.01,0.10,2,10,448>
<2024-CANSAT-ASI-023,00:00:08,8,0,99603,24.9,7.42,15:00:08,28.6123,77.0360,0,12,16.10,-10.72,0.20,-0.06,0.00,0.11,2,19,456>
<2024-CANSAT-ASI-023,00:00:09,9,0,99534,24.6,7.45,15:00:09,28.6129,77.0358,0,9,16.23,-10.84,0.27,-0.07,0.00,0.12,3,6,443>
<2024-CANSAT-ASI-023,00:00:10,10,9,99581,20.7,7.42,15:00:10,28.6113,77.0361,0,6,16.10,-10.88,0.21,-0.04,-0.02,0.11,3,13,418>
<2024-CANSAT-ASI-023,00:00:11,11,15,99505,22.5,7.38,15:00:11,28.6131,77.0361,3,6,16.24,-10.88,0.27,-0.06,-0.01,0.09,3,6,387>
<2024-CANSAT-ASI-023,00:00:12,12,18,99538,27.2,7.38,15:00:12,28.6117,77.0374,4,7,16.16,-10.83,0.29,-0.05,-0.03,0.08,3,20,437>
<2024-CANSAT-ASI-023,00:00:13,13,24,99542,27.7,7.39,15:00:13,28.6125,77.0362,9,8,16.11,-10.81,0.25,-0.07,-0.00,0.09,3,0,462>
<2024-CANSAT-ASI-023,00:00:14,14,26,99531,31.7,7.43,15:00:14,28.6113,77.0369,18,13,16.15,-10.91,0.22,-0.06,-0.02,0.10,3,13,440>
